Country,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Ethiopia,"16,300","16,750","21,320","18,370","19,080","21,530","9,860","11,270","12,750","19,160"
Falkland Islands,90,80,90,60,120,140,130,50,140,180
Faroe Islands,280,330,420,310,400,460,150,20,250,330
Fiji,"12,960","11,610","11,560","9,320","9,280","10,270","4,360",530,"6,420","9,150"
Finland,"162,430","149,610","157,760","162,540","161,100","159,680","75,920","5,140","69,450","116,100"
France,"1,961,930","1,755,140","1,744,720","1,935,160","2,108,150","2,174,750","901,850","91,240","1,345,310","1,802,020"
French Guiana,"1,510","1,480","1,060",940,"1,630","2,420",750,40,910,"1,140"
French Polynesia,"6,280","5,740","4,080","2,110","5,550","10,560","4,650",540,"12,390","16,720"
Gabon,"3,120","3,240","3,220","2,510","2,340","2,770","1,180",650,"1,630","2,280"
Gambia,"2,410","2,040","2,040","1,670","1,820","2,160",980,790,"1,620","2,430"
Georgia,"9,180","11,020","9,360","5,450","9,050","13,000","5,890","4,880","8,920","12,440"
Germany,"2,273,050","2,010,520","2,116,150","2,255,450","2,318,140","2,256,710","914,390","117,370","1,352,760","1,933,800"
Ghana,"26,660","25,410","26,470","21,150","26,250","34,780","12,860","11,210","25,930","39,490"
Gibraltar,"1,470","1,450","1,450",980,"1,580","1,920",730,70,"1,200","1,720"
Greece,"77,720","72,910","82,620","89,570","94,910","95,040","45,790","10,230","61,760","82,560"
Greenland,200,170,200,150,220,230,80,20,100,180
Grenada,"10,290","11,820","12,070","10,660","9,810","13,440","5,310","3,720","8,990","13,180"
Guadeloupe,"3,900","5,950","6,280","4,130","8,200","11,400","3,540","1,800","5,180","6,160"
Guam,"2,920","2,630","2,790","3,210","4,580","4,810","2,400",60,460,"1,440"
Guatemala,"253,530","256,830","290,150","279,110","272,920","325,460","159,180","227,950","284,020","318,150"
Guernsey,10,60,60,60,60,70,10,10,110,130
Guinea,"2,670","2,610","3,300","2,840","2,350","2,860","1,110",570,"1,510","2,610"
Guinea-Bissau,270,310,250,300,280,340,130,140,280,300
Guyana,"40,090","53,010","65,700","42,080","40,020","55,790","19,840","32,920","49,050","63,430"
Haiti,"117,390","130,070","153,410","126,000","95,160","132,440","59,890","65,460","55,530","47,660"
Holy See,250,260,250,220,260,290,170,90,160,200
Honduras,"173,600","181,190","216,870","210,580","206,410","235,940","103,530","184,310","235,180","293,450"
Hong Kong,"134,860","137,830","144,510","118,820","136,870","164,500","59,030","11,470","34,650","100,030"
Hungary,"80,700","77,180","85,740","97,710","102,990","113,010","48,940","5,930","59,170","83,020"
Iceland,"54,710","50,440","56,060","66,920","75,120","70,390","28,660","2,050","38,130","46,770"
India,"1,551,250","1,721,140","1,804,540","1,707,620","1,779,540","2,029,510","919,790","472,430","1,510,180","2,133,120"
Indonesia,"125,290","131,270","127,360","118,810","119,070","145,950","66,040","32,380","101,080","139,300"
Iran,"27,120","28,750","26,670","16,840","7,280","5,280","2,340","2,850","8,360","15,050"
Iraq,"20,210","17,650","17,600","15,790","13,370","15,330","7,360","1,270","3,820","7,520"
Ireland,"456,500","435,240","457,150","525,430","585,640","580,690","246,650","13,500","351,510","483,050"
Isle of Man,60,110,110,110,150,260,80,20,90,130
Israel,"398,750","456,280","459,890","370,570","402,420","471,280","211,930","169,470","362,770","441,910"
Italy,"1,141,380","1,004,640","1,078,610","1,205,770","1,271,290","1,236,520","460,880","67,250","659,260","1,017,950"
Jamaica,"254,420","292,530","336,570","257,640","256,380","355,560","153,340","155,940","228,790","298,380"
Japan,"4,079,850","3,745,480","3,796,040","3,795,310","3,756,650","3,859,450","1,709,910","121,080","453,420","1,373,390"
Jersey,10,80,60,80,80,100,60,10,70,120
Jordan,"37,520","45,300","46,140","40,210","39,160","43,350","17,660","16,590","25,640","39,180"
Kazakhstan,"24,660","27,810","25,400","23,490","24,600","31,360","13,630","11,670","22,840","35,020"
Kenya,"25,880","27,540","29,810","27,720","30,160","40,200","16,660","12,360","21,190","34,260"
Kiribati,790,960,940,950,850,760,250,30,170,360
"Korea, North",400,460,720,270,540,760,360,130,580,"1,270"
"Korea, South","1,705,540","1,831,790","2,092,970","2,428,030","2,477,590","2,286,970","1,089,940","155,880","744,520","1,609,620"
Kosovo,"4,390","4,710","5,170","5,030","5,160","6,870","3,150","2,070","4,230","7,550"
Kuwait,"66,620","76,460","79,500","57,350","57,130","62,120","23,340","17,220","36,460","40,370"
Kyrgyzstan,"3,810","3,290","3,160","1,820","3,390","4,570","2,400","2,080","4,820","8,840"
Laos,"2,590","2,360","2,230","2,400","2,130","2,660",980,90,"1,250","3,140"
Latvia,"21,210","20,950","21,840","24,650","24,640","24,490","12,090","3,070","15,610","21,000"
Lebanon,"41,600","43,530","44,590","38,520","35,080","39,670","17,230","12,980","21,590","27,440"
Lesotho,570,560,690,560,600,650,220,90,290,540
Liberia,"4,960","5,250","4,300","3,650","3,510","4,120","1,340",690,"1,140","1,970"
Libya,"3,730","2,500","1,780","1,240",770,750,360,370,"1,100","1,570"
Liechtenstein,"2,610","2,270","2,260","2,210","2,350","2,510",950,140,"1,410","1,960"
Lithuania,"25,900","25,730","26,690","20,170","38,270","38,750","17,050","3,360","26,200","37,480"
Luxembourg,"21,290","20,080","20,670","18,450","23,200","26,480","9,450","1,130","16,860","24,060"
Macau,"3,450","4,100","4,730","4,490","4,570","4,540","1,280",230,480,"2,000"
Madagascar,"1,600","1,640","1,870","1,520","1,560","2,090",890,220,"1,420","2,390"
Malawi,"2,090","2,680","2,700","2,540","2,260","2,660","1,050",440,"1,720","2,500"
